NBa7we src;Nama;hCCjke src 3;hCCjke src 4;hCCjke src 5;Waktu;Ulasan
https://lh3.googleusercontent.com/a-/AD_cMMTso15Mhx2Wa88_EGfNCEpqR8M5St87Zv-bYpVrh-mgzS0=w32-h32-p-rp-mo-br100;RA Bpu;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;1 hari lalu;
https://lh3.googleusercontent.com/a/AAcHTtdYDvKYSpV1nnwhrKzIksRQamfnW64RHqOHFGWcqG9u=w32-h32-p-rp-mo-ba4-br100;ngawi digital;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 hari lalu;Lokasi nyaman, pelayan bgus
https://lh3.googleusercontent.com/a-/AD_cMMSg5lIW4EwPBKVCdYEDB3xWEjgQxF2QoumP16dyCgLBHA=w32-h32-p-rp-mo-br100;Alfiatun Nadhiroh;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;seminggu lalu;
https://lh3.googleusercontent.com/a-/AD_cMMQdotbUYKV6AppT8KNI2gFh_JuGAtKx3BWyVxTD1jOvP2g=w32-h32-p-rp-mo-ba3-br100;andi anta;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;seminggu lalu;
https://lh3.googleusercontent.com/a-/AD_cMMTU9Vr5pEmxA6kvBqWe5GhaVyvYhUmHAhAOcwJhkenxL14=w32-h32-p-rp-mo-br100;siska verawati;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 minggu lalu;
https://lh3.googleusercontent.com/a-/AD_cMMQfx34aGoNtUniPmrr1ZTYDnfADOf5Jqv-N1RZqxbSPFw=w32-h32-p-rp-mo-ba3-br100;satria wahidz;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;2 minggu lalu;Bagus belimbing nya banyak
https://lh3.googleusercontent.com/a-/AD_cMMSxLYRfMrTSmNLCjuii1h0Tb-mcKDMyuhpv7FWkEjAcvSM=w32-h32-p-rp-mo-ba4-br100;Sariwulan Rahmawatie Soeyono;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;3 minggu lalu;Tempat kita mengenal pohon dan buah belimbing... manis2.. ada.toilet.dan mushola, ramah anak juga
https://lh3.googleusercontent.com/a/AAcHTtd_TLVhXaNMzTmQ_DWe34DOJb-bDNB13GqIohtxds1I=w32-h32-p-rp-mo-ba3-br100;Totok Triono;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;sebulan lalu;
https://lh3.googleusercontent.com/a/AAcHTtfwYcnnJ7zYa9nPLPrsshvLDF80SabDAjAiAuzocc_ZvA=w32-h32-p-rp-mo-br100;nardi assadam;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;sebulan lalu;
https://lh3.googleusercontent.com/a-/AD_cMMQkI0RBRT2YAVkaBUwPfQSadiVfqY0ofPW5-3xS3IVmMVs=w32-h32-p-rp-mo-ba5-br100;Anggie Nurfitria Sari;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;sebulan lalu;Luas banget, belimbing gede2 dan manis
https://lh3.googleusercontent.com/a/AAcHTtfJtwVcU36Zwh0CMuymbb42t7Fgx7gECGQGfwaRmrdZ=w32-h32-p-rp-mo-br100;Kurnia Kurnia;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;sebulan lalu;
https://lh3.googleusercontent.com/a-/AD_cMMRdMxIkYHWKg7o1C9zVC6sWfD9AiVnEPiZToVPLHUSxpcY=w32-h32-p-rp-mo-ba2-br100;Syarifa Ree;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;sebulan lalu;Banyak banget belimbing segar segar, bumbu rujak juga tersedia. Pedagang ramah poll ?? ?
https://lh3.googleusercontent.com/a/AAcHTtcldu0kroTvVHleUSyxxjkm32_zIo0ii1l8ImBpgDWy=w32-h32-p-rp-mo-ba4-br100;Na Bil;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;sebulan lalu;Bnyk pohon belimbing.. Ga seramai dulu
https://lh3.googleusercontent.com/a-/AD_cMMRVhVnjem5LmiGbPm2EtVsn8zzRJ0n2gVPldnnGXv9s=w32-h32-p-rp-mo-ba6-br100;yudi balitbang;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;sebulan lalu;Bagus, tetapi masih perlu edukasi untuk para pedagangnya sehingga bisa menyajikan berbagai variasi produk olahan serba serbi belimbing, yang akan meningkatkan daya tarik wisata dan nilai tambah petaninya
https://lh3.googleusercontent.com/a-/AD_cMMQlaRTkvbPR4c6Hihq7VispvpObRLaT8CManL-yj0wFswg=w32-h32-p-rp-mo-br100;Muhammad Riadi;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;https://maps.gstatic.com/consumer/images/icons/2x/ic_star_rate_empty_14.png;sebulan lalu;"Biasa saja. Tiket masuk 3rb/ orang. Tiket parkir motor 3rb.
Kukira gratis ambil/makan belimbing sepuasnya di kebun. Eh ternyata harus ditimbang dulu, bayar, baru boleh makan. Harganya juga hampir sama kayak di toko buah. ?"
